----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 6.1108 	 MSE Reconstruct Loss 3.7005	 BCE Reconstruct Loss 2.3223	 KL Loss 13.7668----------pretrain Epoch 54:----------
VAE iteration 0 	 ELBO Loss 6.1107 	 MSE Reconstruct Loss 3.7004	 BCE Reconstruct Loss 2.3217	 KL Loss 13.6982----------pretrain Epoch 55:----------
VAE iteration 0 	 ELBO Loss 6.1146 	 MSE Reconstruct Loss 3.7024	 BCE Reconstruct Loss 2.3232	 KL Loss 13.5906----------pretrain Epoch 56:----------
VAE iteration 0 	 ELBO Loss 6.1128 	 MSE Reconstruct Loss 3.7010	 BCE Reconstruct Loss 2.3221	 KL Loss 13.5495----------pretrain Epoch 57:----------
VAE iteration 0 	 ELBO Loss 6.1140 	 MSE Reconstruct Loss 3.7012	 BCE Reconstruct Loss 2.3226	 KL Loss 13.4734----------pretrain Epoch 58:----------
VAE iteration 0 	 ELBO Loss 6.1156 	 MSE Reconstruct Loss 3.7027	 BCE Reconstruct Loss 2.3216	 KL Loss 13.4699----------pretrain Epoch 59:----------
VAE iteration 0 	 ELBO Loss 6.1145 	 MSE Reconstruct Loss 3.7007	 BCE Reconstruct Loss 2.3212	 KL Loss 13.5015----------pretrain Epoch 60:----------
VAE iteration 0 	 ELBO Loss 6.1146 	 MSE Reconstruct Loss 3.7007	 BCE Reconstruct Loss 2.3206	 KL Loss 13.4595----------pretrain Epoch 61:----------
VAE iteration 0 	 ELBO Loss 6.1150 	 MSE Reconstruct Loss 3.7014	 BCE Reconstruct Loss 2.3210	 KL Loss 13.2048----------pretrain Epoch 62:----------
VAE iteration 0 	 ELBO Loss 6.1145 	 MSE Reconstruct Loss 3.7011	 BCE Reconstruct Loss 2.3199	 KL Loss 13.1814----------pretrain Epoch 63:----------
VAE iteration 0 	 ELBO Loss 6.1153 	 MSE Reconstruct Loss 3.7014	 BCE Reconstruct Loss 2.3203	 KL Loss 13.0373----------pretrain Epoch 64:----------
VAE iteration 0 	 ELBO Loss 6.1142 	 MSE Reconstruct Loss 3.7016	 BCE Reconstruct Loss 2.3167	 KL Loss 13.2209----------pretrain Epoch 65:----------
VAE iteration 0 	 ELBO Loss 6.1160 	 MSE Reconstruct Loss 3.7009	 BCE Reconstruct Loss 2.3182	 KL Loss 13.2004----------pretrain Epoch 66:----------
VAE iteration 0 	 ELBO Loss 6.1169 	 MSE Reconstruct Loss 3.7015	 BCE Reconstruct Loss 2.3185	 KL Loss 13.0531----------pretrain Epoch 67:----------
VAE iteration 0 	 ELBO Loss 6.1188 	 MSE Reconstruct Loss 3.7022	 BCE Reconstruct Loss 2.3179	 KL Loss 13.1298----------pretrain Epoch 68:----------
VAE iteration 0 	 ELBO Loss 6.1195 	 MSE Reconstruct Loss 3.7030	 BCE Reconstruct Loss 2.3168	 KL Loss 13.1228----------pretrain Epoch 69:----------
VAE iteration 0 	 ELBO Loss 6.1180 	 MSE Reconstruct Loss 3.7012	 BCE Reconstruct Loss 2.3179	 KL Loss 12.8645----------pretrain Epoch 70:----------
VAE iteration 0 	 ELBO Loss 6.1171 	 MSE Reconstruct Loss 3.7002	 BCE Reconstruct Loss 2.3169	 KL Loss 12.8587----------pretrain Epoch 71:----------
VAE iteration 0 	 ELBO Loss 6.1203 	 MSE Reconstruct Loss 3.7011	 BCE Reconstruct Loss 2.3180	 KL Loss 12.8606----------pretrain Epoch 72:----------
VAE iteration 0 	 ELBO Loss 6.1205 	 MSE Reconstruct Loss 3.7006	 BCE Reconstruct Loss 2.3183	 KL Loss 12.7700----------pretrain Epoch 73:----------
VAE iteration 0 	 ELBO Loss 6.1215 	 MSE Reconstruct Loss 3.7020	 BCE Reconstruct Loss 2.3177	 KL Loss 12.6505----------pretrain Epoch 74:----------
VAE iteration 0 	 ELBO Loss 6.1220 	 MSE Reconstruct Loss 3.7012	 BCE Reconstruct Loss 2.3183	 KL Loss 12.5976----------pretrain Epoch 75:----------
VAE iteration 0 	 ELBO Loss 6.1213 	 MSE Reconstruct Loss 3.7000	 BCE Reconstruct Loss 2.3159	 KL Loss 12.8084----------pretrain Epoch 76:----------
VAE iteration 0 	 ELBO Loss 6.1251 	 MSE Reconstruct Loss 3.7021	 BCE Reconstruct Loss 2.3187	 KL Loss 12.5293----------pretrain Epoch 77:----------
VAE iteration 0 	 ELBO Loss 6.1244 	 MSE Reconstruct Loss 3.7022	 BCE Reconstruct Loss 2.3172	 KL Loss 12.4654----------pretrain Epoch 78:----------
VAE iteration 0 	 ELBO Loss 6.1273 	 MSE Reconstruct Loss 3.7015	 BCE Reconstruct Loss 2.3191	 KL Loss 12.5333----------pretrain Epoch 79:----------
VAE iteration 0 	 ELBO Loss 6.1295 	 MSE Reconstruct Loss 3.7018	 BCE Reconstruct Loss 2.3182	 KL Loss 12.7068----------pretrain Epoch 80:----------
VAE iteration 0 	 ELBO Loss 6.1277 	 MSE Reconstruct Loss 3.7011	 BCE Reconstruct Loss 2.3180	 KL Loss 12.4666----------pretrain Epoch 81:----------
VAE iteration 0 	 ELBO Loss 6.1298 	 MSE Reconstruct Loss 3.7026	 BCE Reconstruct Loss 2.3181	 KL Loss 12.3815----------pretrain Epoch 82:----------
VAE iteration 0 	 ELBO Loss 6.1298 	 MSE Reconstruct Loss 3.7010	 BCE Reconstruct Loss 2.3177	 KL Loss 12.4649----------pretrain Epoch 83:----------
VAE iteration 0 	 ELBO Loss 6.1316 	 MSE Reconstruct Loss 3.7021	 BCE Reconstruct Loss 2.3184	 KL Loss 12.3364----------pretrain Epoch 84:----------
VAE iteration 0 	 ELBO Loss 6.1327 	 MSE Reconstruct Loss 3.7016	 BCE Reconstruct Loss 2.3185	 KL Loss 12.3673----------pretrain Epoch 85:----------
VAE iteration 0 	 ELBO Loss 6.1347 	 MSE Reconstruct Loss 3.7037	 BCE Reconstruct Loss 2.3184	 KL Loss 12.2297----------pretrain Epoch 86:----------
VAE iteration 0 	 ELBO Loss 6.1358 	 MSE Reconstruct Loss 3.7010	 BCE Reconstruct Loss 2.3201	 KL Loss 12.3121----------pretrain Epoch 87:----------
VAE iteration 0 	 ELBO Loss 6.1330 	 MSE Reconstruct Loss 3.7017	 BCE Reconstruct Loss 2.3177	 KL Loss 12.0608----------pretrain Epoch 88:----------
